NumNodes,K,EppDist,EppPath,LazyDist,LazyPath
196604,64,698.211,753.073,365.871,381.534
196604,128,692.254,752.594,366.366,385.03
196604,256,679.4,766.421,367.853,395.363
196604,512,686.298,788.339,370.83,412.45
196604,1024,687.889,816.596,369.047,446.724
196604,2048,674.989,900.665,369.248,515.352
196604,4096,691.936,1049.79,371.135,665.364
196604,8192,689.386,1353.58,382.837,968.268
393212,64,1470.3,1587.08,780.793,814.223
393212,128,1458.75,1599.32,782.474,816.217
393212,256,1467.73,1615.67,788.097,834.325
393212,512,1458.93,1656.45,774.8,868.874
393212,1024,1602.86,1734.29,778.136,940.5
393212,2048,1482.54,1879.47,781.168,1080.36
393212,4096,1596.15,2186.89,810.772,1378.29
393212,8192,1602.25,2797.3,791.478,1990.32
786428,64,3120.23,3316.78,1712.23,1771.57
786428,128,3077.89,3336.7,1711.78,1788.89
786428,256,3123.83,3403.84,1710.74,1821.8
786428,512,3124.34,3464.44,1711.36,1895.97
786428,1024,3124.53,3605.99,1713.66,2038.28
786428,2048,3070.51,3921.03,1712.69,2335.84
786428,4096,3067.16,4597.51,1714.38,2954.61
786428,8192,3053.6,5785.8,1714.85,4199.55
1572860,64,6504.36,7138.95,3663.56,3800.71
1572860,128,6505.87,7112.08,3663.96,3852.28
1572860,256,6491.73,7226.5,3677.1,3939.58
1572860,512,6562.66,7451.97,3660.53,4142.41
1572860,1024,6544.05,7797.21,3680.53,4488.88
1572860,2048,6541.25,8616.05,3661.97,5211.81
1572860,4096,6577.29,10113.2,3667.75,6728.95
